ecoregion_name,ecoregion_description,ecoregion_id
WAGER BAY PLATEAU,"This large ecoregion covering the northeastern District of Keewatin extends westward from the northern portion of Southampton Island on Hudson Strait to Chesterfield Inlet in the south, and as far west as Back River. The mean annual temperature is approximately -11°C with a summer mean of 4.5°C and a winter mean of -26.5°C. The mean annual precipitation ranges 200-300 mm. This ecoregion is classified as having a low arctic ecoclimate. It is characterized by a discontinuous cover of tundra vegetation, consisting of dwarf birch, willow, northern Labrador tea, Dryas spp., and Vaccinium spp. Taller dwarf birch, willow, and alder occur on warm sites; wet sites are dominated by willow and sedge. Lichen-covered rock outcroppings are prominent throughout the ecoregion, and towards the south the vegetation becomes a mix of tundra vegetation and open, dwarf coniferous forest. This ecoregion is composed of massive Archean rocks of the Canadian Shield that form broad, sloping uplands, plains, and valleys. It rises gradually westward from Chesterfield Inlet to 600 m asl elevation, where it is deeply dissected. Turbic and Static Cryosols developed on discontinuous, thin, sandy moraine and alluvial deposits are the dominant soils in the ecoregion, while large areas of Regosolic Static Cryosols are associated with marine deposits along the coast. Permafrost is continuous with low ice content. Characteristic wildlife includes caribou, muskox, wolverine, Arctic hare, fox, walrus, seal, whale, polar bear, raptors, shorebirds, and waterfowl. Land uses include trapping, hunting, and fishing. Repulse Bay and Baker Lake are the main settlements. The population of the ecoregion is approximately 1700.",30
NORTHERN UNGAVA PENINSULA,"This ecoregion takes in the northern tip of Ungava Peninsula, including the Povungnituk Hills in northern Quebec. The mean annual temperature is approximately -8.5°C with a summer mean of 3°C and a winter mean of -20°C. Winter temperatures of -50°C are not uncommon on the plateau. Coastal ice and fog persist for long periods in the summer. The mean annual precipitation ranges 200-300 mm. This ecoregion is classified as having a low arctic ecoclimate. Its short growing season limits vegetative growth, which is characterized by a nearly continuous cover of dwarf tundra vegetation, including dwarf birch, willow, northern Labrador tea, Dryas spp., and Vaccinium spp. Tall dwarf birch, willow, and alder occur on warm sites; wet sites are dominated by willow and sedge. Bedrock geology consists of foliated granite and granitic gneiss. These folded strata form a series of east-west ridges and valleys with a relatively high relief in the west, but a more subdued character in the east where the summit surface of the hills virtually merges with Larch and Sugluk plateaus. In the Povungnituk Hills, the surface is covered by frost-shattered bedrock and glacially derived deposits, including a few eskers and patches of thin till. Raised beaches occur along the coast, covered by late Pleistocene marine incursions. Inland, the undulating surface averages 100 m asl and rises towards the north, where elevations can reach about 520 m asl. Turbic Cryosols developed on loamy marine sediments along the coast and on thin, discontinuous glacial drift deposits inland, are the dominant soils in the ecoregion. Inclusions of Organic Cryosols and a dominant occurrence of rock outcrops are also present. Permafrost is continuous with low ice content. Characteristic wildlife includes caribou, wolverine, Arctic hare, fox, polar bear, raptors, shorebirds, and waterfowl. Marine mammals include walrus, seal, and whale. Land uses include subsistence trapping and  hunting, and mineral exploration is ongoing. The main settlements are Salluit and Ivujivik. The population of the ecoregion is approximately 1500.",31
YUKON COASTAL PLAIN,"This ecoregion occurs west of the Mackenzie River along the coast of the Beaufort Sea. The mean annual temperature is approximately -11°C with a summer mean of 4.5°C and a winter mean of -24°C. The mean annual precipitation ranges from less than 200 to 300 mm. This ecoregion is classified as having a low arctic ecoclimate. It supports a nearly continuous cover of shrubby tundra vegetation, consisting of dwarf birch, willow, northern Labrador tea, Dryas spp., and sedge tussocks. Tall dwarf birch, willow, and alder occur on warm sites; wet sites are dominated by arctic willow, sphagnum moss, and tussock-forming sedge. The Yukon Coastal Plain is largely an erosion surface cut into Tertiary sandstone and shale that is covered with a thin veneer of recent sediments. The plain decreases in elevation towards the west and is drift- or lake-covered along the coast to near Herschel Island. Coalesced deltas and alluvial fans built by streams from the British Mountains and coastal lagoons form the unglaciated plain west of the island. Turbic Cryosols developed on level to rolling, morainal, fluvioglacial, colluvial and marine deposits are the dominant soils in the ecoregion, while Static Cryosols are found on alluvial and eolian sediments primarily in the unglaciated portion. Permafrost is continuous with high ice content, and abundant ice wedges. Characteristic wetlands that account for 25-50% of the area are lowland polygon fens, both the low- and high-centre varieties. This ecoregion covers parts of the calving and summer range for the Porcupine caribou herd. Other species found here include muskox, snowshoe and arctic hare, red and arctic fox, wolf, and arctic ground squirrel. A variety of birds are present, including raptors, songbirds, ptarmigan, snowy owl, waterfowl, and shorebirds. In the marine environment, species present include walrus, seal, beluga whale, polar bear, and arctic char. Land uses include native subsistence trapping, hunting, and fishing, and recreation activities associated with Ivvavik National Park on the mainland and Herschel Island Territorial Park in the Beaufort Sea. There is high hydrocarbon potential off the coastal plain.",32
TUKTOYAKTUK COASTAL PLAIN,"This ecoregion covers the outer Mackenzie River delta and Tuktoyaktuk Peninsula bordering the Beaufort Sea. Much of the ecoregion is covered by small lakes. The mean annual temperature is approximately -11.5°C with a summer mean of 4.5°C and a winter mean of -26.5°C. The mean annual precipitation ranges 125-200 mm with higher values for more southerly locations. This ecoregion is classified as having a low arctic ecoclimate. It is characterized by a continuous cover of shrubby tundra vegetation, consisting of dwarf birch, willow, northern Labrador tea, Dryas spp., and sedge tussocks. Tall dwarf birch, willow, and alder occur on warm sites; wet sites are dominated by sphagnum moss and sedge. Much of the ecoregion is composed of distinctive delta landforms at the mouth of the Mackenzie River. These include wetlands, active alluvial channels, and estuarine deposits. Characteristic wetlands which cover 25-50% of the area are lowland polygon fens, both the low- and high-centre varieties. On the peninsula, innumerable lakes and pingos, some very large, form unique and outstanding features of the landscape. The region is underlain by continuous permafrost with high ice content in the form of ice wedges and pingos. Organic and Turbic Cryosols developed on level to rolling organic, morainal, alluvial, fluvioglacial, and marine deposits are the dominant soils of the ecoregion. Regosolic Static Cryosols are the dominant soils in the active delta portion of the ecoregion. Characteristic wildlife includes caribou, muskox, snowshoe and arctic hare, red fox, wolf, and arctic ground squirrel. A variety of birds are present, including raptors, songbirds, ptarmigan, snowy owl, waterfowl, and shorebirds. In the marine environment, species present include walrus, seal, beluga whale, and polar bear. Land uses include subsistence trapping, hunting and fishing, and tourism-related recreation. Considerable hydrocarbon exploration has occurred in this ecoregion, which acted as the staging point and main base for the Beaufort Sea exploration program. The main settlement is Tuktoyaktuk and the population of the ecoregion is approximately 1000.",33
ANDERSON RIVER PLAIN,"This ecoregion occurs on the coastal mainland of the Northwest Territories south of Franklin Bay and the Tuktoyaktuk Plain, and encompasses the lower Anderson and Horton rivers. The mean annual temperature is approximately -11.5°C with a summer mean of 4.5°C and a winter mean of -26°C. The mean annual precipitation ranges 150-250 mm. This ecoregion is classified as having a low arctic ecoclimate. The nearly continuous cover of shrubby tundra vegetation consists of dwarf birch, willow, northern Labrador tea, Dryas spp., and sedge tussocks. Tall dwarf birch, willow, and alder occur on warm sites; poorly drained sites usually support tussocks of sedge, cottongrass, and sphagnum moss. Underlain by flat-lying Cretaceous shale, this ecoregion is covered by undulating glacial drift and outwash deposits. Portions of the entrenched Anderson and Horton river channels lie some 60-150 m below the surrounding surface. Turbic and Static Cryosols developed on loamy morainal deposits, and Organic Cryosols formed on high-centred polygons, are the dominant soils. The ecoregion is underlain by continuous permafrost with high ice content in the form of ice wedges and pingos. Characteristic wildlife includes caribou, snowshoe hare, red fox, wolf, arctic hare, and arctic ground squirrel. A variety of birds are present, including raptors, songbirds, ptarmigan, snowy owl, waterfowl, and shorebirds. In the marine environment, species present include walrus, seal, beluga whale, and polar bear. Land uses include trapping, hunting, and fishing.",34
DEASE ARM PLAIN,"This expansive ecoregion covers the upland from just east of the Mackenzie Delta to Dease Arm of Great Bear Lake. The mean annual temperature is approximately -11°C with a summer mean of 5°C and a winter mean of -26°C. The mean annual precipitation ranges 200-300 mm. This ecoregion is classified as having a high subarctic ecoclimate. Tall shrub tundra, usually consisting of dwarf birch and willow, is the most common vegetative cover. The southern boundary of the ecoregion encompasses the area of tundra and subarctic forest transition, where open, very stunted stands of black spruce and tamarack with secondary quantities of white spruce and ground cover of dwarf birch, willow, ericaceous shrubs, cottongrass, lichen, and moss, are predominant. This ecoregion's rolling surface, which is generally below about 300 m asl elevation, is covered by glacial drift and outwash. A number of hills reach about 460 m asl. A wide range of Cryosolic soils, as well as Eutric and Dystric Brunisolic soils, have formed on hummocky to undulating, loamy glacial till. Organic landforms are usually high-centred lowland polygons. Permafrost is continuous throughout the ecoregion with high ice content and abundant ice wedges in the northern half, and low to medium ice content in the southernmost quarter along Great Bear Lake. Characteristic mammals include caribou, moose, black and grizzly bear, lynx, red and arctic fox, and snowshoe hare. Representative birds include sparrow, songbirds, spruce grouse, osprey, and waterfowl. Land use is limited to trapping, hunting, and fishing. Mineral exploration activities are common. Paulatuk is the main settlement and the population of the ecoregion is approximately 300.",35
CORONATION HILLS,"This ecoregion occurs between Amundsen and Coronation gulfs and the northeast shore of Great Bear Lake. The mean annual temperature is approximately -11°C with a summer mean of 5°C and a winter mean of -26°C. The mean annual precipitation ranges from 200 mm in the northern portion of the ecoregion to 300 mm in southern portions. This ecoregion is classified as having a low arctic ecoclimate. The nearly continuous cover of shrub tundra vegetation consists of dwarf birch, willow, northern Labrador tea, Dryas spp., and sedge tussocks. Tall dwarf birch, willow, and alder occur on warm sites; wet sites are dominated by willow and sedge. The southern boundary of the region has a mix of tundra vegetation and open, dwarf coniferous forest. The ecoregion is composed of large, rounded, low hills and lowlands consisting of Palaeozoic carbonates and stratified, down-faulted, and folded Proterozoic sediments. Surfaces range in elevation 200-600 m asl in Coronation Hills. Turbic and Static Cryosols developed on undulating to ridged glacial tills, fluvioglacial, and marine deposits are the dominant soils in the ecoregion. Organic Cryosols are associated with organic materials composing peat plateaus and high centre polygons. The northern two-thirds of this ecoregion is underlain by permafrost with medium to high ice content in the form of ice wedges, while the southern one-third adjacent to Coronation Gulf is underlain by permafrost with low to medium ice content. Characteristic wildlife includes caribou, moose, grizzly bear, snowshoe hare, fox, wolf, coyote, raptors, seabirds, and waterfowl. Marine species include walrus, seal, polar bear, and whale. Land uses include trapping, hunting, and fishing. Coppermine is the main settlement in the region, and the population of the ecoregion is approximately 1100.",36
BLUENOSE LAKE PLAIN,"This ecoregion occurs in the relatively subdued topography of the Horton and Hornaday river plains. The mean annual temperature is approximately -11°C with a summer mean of 5°C and a winter mean of -26°C. The mean annual precipitation ranges 200-300 mm. This ecoregion is classified as having a low arctic ecoclimate. Shrub tundra vegetation forms a nearly continuous cover, consisting of dwarf birch, willow, northern Labrador tea, Dryas spp., and Vaccinium spp. Tall dwarf birch, willow, and alder occur on warm sites; wet sites are dominated by sphagnum moss and sedge. Much of the ecoregion is underlain by nearly flat-lying, Paleozoic carbonates and late Proterozoic sediments. The landscape surface reaches elevations of 365-610 m asl, the higher parts being in the south. The western portion of the region is rocky where exposed bedrock outcroppings are common. Eastern sections are covered by rolling to undulating glacial drift. With few exceptions, lakes are small and scattered. Streams gather size northward and become entrenched 60-120 m below the surface. Turbic Cryosols developed on rolling glacial moraine are the dominant soils, and are underlain by continuous permafrost with medium to high ice content in the form of ice wedges. The ecoregion is home to the barren-ground caribou (Bluenose herd). Other wildlife includes moose, grizzly bear, snowshoe hare, red fox, wolf, and a variety of migratory waterfowl. Land uses include trapping, hunting and fishing.",37
BATHURST HILLS,"This ecoregion occurs along the mainland shore of Coronation Gulf and along the shores of Bathurst Inlet and adjacent offshore islands. The mean annual temperature is approximately -12.5°C with a summer mean of 4°C and a winter mean of -28°C. The mean annual precipitation ranges 125-200 mm. Coastal portions of the ecoregion, particularly the islands, are moderated by open water during the late summer and early fall. This ecoregion is classified as having a low arctic ecoclimate. It is characterized by a nearly continuous cover of shrub tundra vegetation. Dwarf birch, willow, and alder occur on warm, dry sites; poorly drained sites are dominated by sphagnum moss and sedge tussocks. Bathurst Hills are composed of down-faulted, folded sediments and sills that lie within, and extend south from Bathurst Inlet between higher upland areas of massive granite rocks. The softer rocks have been eroded and in many places lie submerged beneath bays and channels, leaving the harder members more than 300 m asl in elevation. Marine silts and reworked deposits from the marine overlap mantle some of the lower parts along the coast. Some rugged peaks reach 610 m in elevation, standing as much as 185 m above nearby lakes. Rock outcrops and Turbic and Static Cryosolic soils (developed on thin sandy glacial tills) are characteristic of the region. Permafrost is continuous with low to medium ice content, except in the northeastern part of the ecoregion on the Kent Peninsula, where it has medium to high ice content in the form of ice wedges. This ecoregion provides important summer range for caribou and breeding habitat for snow and Canada goose and other waterfowl. Other characteristic wildlife includes moose, red and arctic fox, snowshoe hare, arctic ground squirrel, masked shrew, lemming, wolf, lynx, weasel, snowy owl, shorebirds, seabirds, raptors, seal, whale, walrus, and polar bear. Land uses include fishing, trapping, hunting, and tourism. There are no sizable permanent settlements in the ecoregion, however a total population of 18 is reported.",38
QUEEN MAUD GULF LOWLAND,"This ecoregion extends eastward along the arctic slope from Bathurst Inlet to near Chantrey Inlet and is associated with the lowlands south of Queen Maud Gulf. The mean annual temperature is approximately -11°C with a summer mean of 5.5°C and a winter mean of -27°C. The mean annual precipitation ranges 125-200 mm in the southern edge of the ecoregion. This ecoregion is classified as having a low arctic ecoclimate. It is characterized by a cover of shrub tundra vegetation, consisting of dwarf birch, willow, northern Labrador tea, Dryas spp., and Vaccinium spp. Tall dwarf birch, willow, and alder occur on warm sites; wet sites are dominated by sphagnum moss and sedge tussocks. The region is composed of massive Archean rocks that form broad, sloping uplands that reach about 300 m asl in elevation in the south, and subdued undulating plains near the coast. The coastal areas are mantled by silts and clay of postglacial marine overlap. Bare bedrock is common, and Turbic and Static Cryosols developed on discontinuous, thin, sandy moraine, level alluvial, and marine deposits are the dominant soils in the ecoregion. Permafrost is continuous and deep with low ice content. The Queen Maud Gulf Bird Sanctuary covers most of the ecoregion. The sanctuary is an important migratory bird (duck, goose and shore) habitat. Additional wildlife includes caribou, muskox, polar bear, moose, wolverine, hare, fox, raptors, walrus, seal, and whale. The main settlement in the area is Bathurst Inlet and the population of the ecoregion is approximately 50.",39
CHANTREY INLET LOWLAND,"This ecoregion is associated with lowlands surrounding Chantrey Inlet and Adelaide Peninsula. The mean annual temperature is approximately -12°C with a summer mean of 4.5°C and a winter mean of -28°C. The mean annual precipitation ranges 125-200 mm. This ecoregion is classified as having a low arctic ecoclimate. It is characterized by large areas of exposed, sparsely vegetated bedrock, in association with shrub tundra vegetation consisting of dwarf birch, willow, northern Labrador tea, Dryas spp., and Vaccinium spp. Tall dwarf birch, willow, and alder occur on warm sites; wet sites are dominated by sphagnum moss and sedge tussocks. Near the coast, the surface is mantled by silts and clay of postglacial marine overlap, and is underlain by massive Archean rocks that form a level to undulating plain that reaches about 300 m asl in elevation in its southern section. Turbic and Static Cryosols developed on discontinuous, thin, sandy moraine, level alluvial, and marine deposits are the dominant soils in the ecoregion. The east and west sides of Chantrey Inlet are underlain by continuous permafrost with low ice content. The northern half of the Adelaide Peninsula is characterized by continuous permafrost with medium to high ice content in the form of ice wedges and massive ice bodies. Characteristic wildlife includes caribou, polar bear, wolf, fox, hare, raptors, shorebirds, waterfowl, walrus, seal, and whale. Land uses include trapping, hunting, and fishing.",40
TAKIJUQ LAKE UPLAND,"This ecoregion takes in the eastern half of the Bear-Slave Upland south of Coronation Gulf. Much of the upland surface is composed of unvegetated rock outcrops that are common on the Canadian Shield. The mean annual temperature is approximately -10.5°C with a summer mean of 6°C and a winter mean of -26.5°C. The mean annual precipitation ranges 200-300 mm. This ecoregion is classified as having a low arctic ecoclimate. Numerous lakes fill its lowlands. Vegetative cover is characterized by shrub tundra, consisting of dwarf birch, willow, northern Labrador tea, Dryas spp., and Vaccinium spp. Depressional sites are dominated by willow, sphagnum moss, and sedge tussocks. Scattered stands of spruce occur along the southern boundary of the ecoregion. The region consists mainly of massive Archean rocks that form broad, sloping uplands, plateaus, and lowlands. Bathurst Hills form a prong of rugged ridges that reach about 610 m asl and stand as much as 185 m above nearby lakes. Turbic and Static Cryosols have formed on thin discontinuous sandy morainal and fluvioglacial materials, and in association with rock outcrops, dominate the uplands. Organic Cryosols are the dominant soils in the lowlands. Permafrost is deep and continuous with low ice content throughout the majority of the region, although the ice content along the west side of Bathurst Inlet is low to medium. The ecoregion has high mineral development potential and considerable exploration activity has taken place. Characteristic wildlife includes caribou, muskox, grizzly bear, hare, fox, wolf, raptors, shorebirds, seabirds, and waterfowl. Land uses include subsistence trapping and hunting.",41
GARRY LAKE LOWLAND,"This ecoregion extends across a vast area of massive granitic Archean rocks, forming a broad, level to gently sloping plain that reaches about 300 m asl in elevation. The mean annual temperature is approximately -10.5°C with a summer mean of 5.5°C and a winter mean of -26.5°C. The mean annual precipitation ranges 200-275 mm. This ecoregion is classified as having a low arctic ecoclimate. The characteristic vegetation is shrub tundra. Dwarf birch, willow, and alder occur on warm, dry sites; poorly drained sites are dominated by willow, sedge, and moss. The lowland is composed of Turbic and Static Cryosols developed on discontinuous, thin, sandy moraine with Organic Cryosolic soils on level high-centre peat polygons. Permafrost is continuous with low ice content throughout the ecoregion. This ecoregion provides important summer range for caribou and breeding habitat for snow and Canada goose, and other waterfowl. Other wildlife includes moose, red and arctic fox, snowshoe hare, arctic ground squirrel, masked shrew, lemming, wolf, lynx, weasel, snowy owl, shorebirds, and other raptors. Land uses include fishing, trapping, and hunting. The ecoregion has high mineral potential.",42
BACK RIVER PLAIN,"This ecoregion occurs in central District of Keewatin, from the Back River south to Aberdeen Lake. The ecoregion is characterized by relatively level terrain, unlike adjacent ecoregions which tend to have greater relief. The mean annual temperature is approximately -10.5°C with a summer mean of 5.5°C and a winter mean of -26.5°C. The mean annual precipitation ranges 200-300 mm. This ecoregion is classified as having a low arctic ecoclimate. The vegetation is characterized as shrub tundra, consisting of dwarf birch, willow, northern Labrador tea, Dryas spp., and Vaccinium spp. Well-drained upper slopes tend to have a discontinuous vegetative cover. Tall dwarf birch, willow, and alder occur on warm sites; wet sites are dominated by willow, moss, and sedge tussocks. Clumps of dwarf black and white spruce and tamarack occur at lower elevations along the Thelon River in the southwest portion. The ecoregion includes areas of nearly flat-lying sandstones and volcanic rocks that are characteristically expressed on the surface by sandy flats sparsely covered with vegetation. Turbic Cryosols developed on level to undulating, discontinuous veneers of sandy morainal and fluvioglacial material are the dominant soils in the ecoregion; Organic Cryosols are associated with polygonal wetlands. Permafrost is continuous with low ice content throughout the ecoregion. The ecoregion has high mineral potential. Characteristic wildlife includes caribou, muskox, moose, arctic hare, arctic fox, raptors, rock ptarmigan, gulls, and waterfowl. Land uses include trapping, hunting, and fishing.",43
DUBAWNT LAKE PLAIN/UPLAND,"This ecoregion lies south and west of Chesterfield Inlet and incorporates the terrain around Mallery, Wharton and Dubawnt lakes. The mean annual temperature is approximately -10.5°C with a summer mean of 6°C and a winter mean of -26.5°C. The mean annual precipitation ranges 225-300 mm. This ecoregion is classified as having a low arctic ecoclimate. It is characterized by a nearly continuous cover of shrub tundra vegetation, consisting of dwarf birch, willow, northern Labrador tea, Dryas spp., and Vaccinium spp. Tall dwarf birch, willow, and alder occur on warm sites; wet sites are dominated by willow, sedge, and moss. Composed of nearly flat-lying sandstones and volcanic rocks, most of the surface of the ecoregion is characterized by sandy flats sparsely covered with vegetation. Its southwestern section consists of rolling terrain composed of massive Archean rocks forming broad, sloping uplands and lowlands, where small and medium sized lakes are common. Turbic and Static Cryosols developed on level to undulating discontinuous veneers of sandy morainal and fluvioglacial deposits are the dominant soils. Permafrost is continuous with low to medium ice content in the eastern half of the region, and continuous with a low ice content in the western half. The ecoregion has high mineral potential. Characteristic wildlife includes caribou, grizzly bear, muskox, moose, arctic hare, arctic fox, wolf, wolverine, weasel, otter, raptors, and waterfowl. Land uses in the interior are limited to some trapping, hunting, and fishing.",44
MAGUSE RIVER UPLAND,"This large ecoregion covers the uplands south of Chesterfield Inlet and extends as far south as Churchill and includes much of the northwest coast of Hudson Bay. The mean annual temperature ranges from approximately -8°C in the south to -11°C in the north. A mean summer temperature of 6°C and mean winter temperature of -24°C occur for the entire ecoregion. The mean annual precipitation ranges 250-400 mm with more than 400 mm occurring south of Eskimo Point. Temperature and precipitation increase to the south of the ecoregion. Coastal climate is moderated by the open waters of Hudson Bay during the late summer and early fall prior to freeze-up when damp foggy weather is common. The ecoregion is classified as having a low arctic ecoclimate. It is characterized by a cover of shrub tundra vegetation. Dwarf birch, willow, and alder occur on warm, dry sites; poorly drained sites are dominated by willow, sphagnum moss, and sedge. The region is associated with areas of continuous permafrost with medium ice content and with Turbic Cryosolic soils. Unfrozen Organic (Mesisol) and Regosolic soils also occur in this ecoregion. Crystalline Archean massive rocks form broad, sloping uplands and lowlands. Hummocky bedrock outcrops covered with discontinuous acidic, sandy, granitic tills are dominant. Prominent fluvioglacial ridges (eskers) also occur. Wetlands make up 25-50% of the land area and are characteristically lowland low- and high-centred polygon fens. Wildlife includes barren-ground caribou, arctic fox, weasel, arctic ground squirrel, and lemming. Bird species include willow ptarmigan, snowy owl, and rough-legged hawk. Waterfowl, particularly sea ducks, snow geese, swans, Canada geese and shorebirds are common in the coastal areas. White whale and seals inhabit coastal waters. Land uses include subsistence fishing, trapping, and hunting. Most of the human population and land use is along the coast. The main settlements in the region are Chesterfield Inlet, Eskimo Point, and Rankin Inlet. The population of the ecoregion is approximately 3600.",45
SOUTHAMPTON ISLAND PLAIN,"This ecoregion includes the southern portion of Southampton Island as well as Coats and Mansel islands in the mouth of Hudson Bay. The mean annual temperature is approximately -11°C with a summer mean of 3°C and a winter mean of -24.5°C. The mean annual precipitation ranges 200-300 mm. This ecoregion is classified as having a low arctic ecoclimate. It is characterized by a nearly continuous cover of low arctic shrub tundra vegetation, consisting of dwarf birch, willow, northern Labrador tea, Dryas spp., and Vaccinium spp.; wet sites are dominated by willow, sedge, and moss. The region is composed of the partly submerged blanket of flat-lying Palaeozoic carbonate rocks and is generally less than 90 m asl in elevation. Bedrock outcrops are common. Static and Turbic Cryosols developed on level to undulating morainal and marine deposits are the dominant soils. The maritime influence is limited to the late summer and early fall. Coastal ice and fog persist for long periods in the summer when the sea ice is absent. The ecoregion is underlain by continuous permafrost with medium ice content composed of ice wedges. Characteristic wildlife includes polar bear, arctic hare, fox, wolf, weasel, wolverine, ermine, caribou, raptors, rock ptarmigan, gulls, seabirds, waterfowl, seal, walrus, and whale. Land uses include trapping, hunting, and fishing. Coral Harbour is the largest settlement. The population of the ecoregion is approximately 600.",46
CENTRAL UNGAVA PENINSULA,"This large ecoregion extends from the eastern coast of Hudson Bay to Ungava Bay south of the Povungnituk Hills in northern Quebec. The mean annual temperature is approximately -7°C with a summer mean of 3.5°C and a winter mean of -17.5°C. The mean annual precipitation ranges 400-500 mm. This ecoregion is classified as having a low arctic ecoclimate. It is characterized by a nearly continuous cover of low arctic shrub tundra vegetation, consisting of dwarf birch, willow, northern Labrador tea, Dryas spp., and Vaccinium spp. The southern portion of the region has a mix of tundra vegetation and open, dwarf coniferous forest. Much of the ecoregion lies above 200 m asl and has an undulating surface with elevations that can reach about 500 m asl. Massive Archean granites and gneisses are widely exposed, and thin, discontinuous veneers of glacial drift are common over most of its surface. Occasional beach and marine deposits occur in coastal areas previously occupied by postglacial seas. Abundant small lakes cover approximately 20% of the area. A large portion of the region drains eastward to Ungava Bay via the aux Feuilles and Arnaud rivers, as well as westward to Hudson Bay by the Povungnituk and Kogaluc rivers. Bare rock outcroppings are common in the ecoregion, and Turbic Cryosols are the dominant soils along with inclusions of Organic Cryosols. Permafrost is continuous with low ice content. Drift ice and fog persist for long periods in the summer along both the Hudson Bay and Ungava Bay coasts. Characteristic wildlife includes caribou, wolverine, snowshoe hare, fox, walrus, seal, whale, polar bear, raptors, shorebirds, and waterfowl. Dominant land uses include trapping, hunting, and fishing. Settlements include Inukjuak, Aupaluk, and Povungnituk. The population of the ecoregion is approximately 3300.",47
OTTAWA ISLANDS,"The ecoregion covers the Ottawa Islands and other smaller islands (Farmer, Hopewell, Sleeper, and King George islands) that occur off the eastern coast of Hudson Bay between 57° N and 60° N latitude. The mean annual temperature is approximately -9°C with a summer mean of 3°C and a winter mean of -20°C. The mean annual precipitation is about 300 mm. Both temperature and precipitation increase to the south. Drizzle and fog persist for long periods in the summer when sea ice is absent. This ecoregion is classified as having a low arctic ecoclimate. The vegetation of the islands is characterized by shrub tundra communities. Dwarf birch, willow, and alder occur on warm, dry sites; poorly drained sites are dominated by willow and sedge. The region is associated with areas of extensive discontinuous permafrost. The islands are composed of resistant Proterozoic sedimentary and volcanic rocks elaborately folded into long, curved, hairpin-shaped structures. Higher summits reach about 122 m asl in elevation and are truncated by an old erosion surface. Bedrock outcrops are common, and Turbic and Static Cryosols developed on level to undulating morainal and marine deposits are the dominant soils in the ecoregion. Characteristic wildlife includes seal, walrus, whale, polar bear, arctic hare, fox, wolf, weasel, raptors, rock ptarmigan, gulls, seabirds, and waterfowl.",48
BELCHER ISLANDS,"This ecoregion covers the Belcher Islands which occur off the coast of Quebec in Hudson Bay. The mean annual temperature is approximately -5.5°C with a summer mean of 5.5°C and a winter mean of -18.5°C. The mean annual precipitation is approximately 500 mm. This ecoregion is classified as having a high subarctic ecoclimate. The ecoregion falls along the latitudinal limits of tree growth. Open, very stunted stands of black spruce and tamarack with secondary quantities of white spruce and ground cover of dwarf birch, willow, ericaceous shrubs, cottongrass, lichen, and moss, are predominant. Poorly drained sites usually support tussocks of sedge, cottongrass, and sphagnum moss. Tall shrub tundra, usually consisting of dwarf birch and willow, is also common. The ecoregion is formed by a range of hills projecting through the waters of Hudson Bay. The hills are composed of resistant Proterozoic sedimentary and volcanic rocks elaborately folded into long, curved, hairpin-shaped structures. Higher summits reach about 122 m asl in elevation and are truncated by an old erosion surface. Bedrock outcrops are common, and Turbic and Static Cryosolic soils developed on level to undulating morainal and marine deposits occur in the ecoregion. Permafrost is extensive and discontinuous with low to no ice content. Characteristic wildlife includes caribou, moose, black and polar bear, wolf, red fox, snowshoe hare, beaver, raven, osprey, shorebirds, seabirds, waterfowl, seal, walrus, and whale. Land uses include hunting and fishing. The major community of the Belcher Islands is Sanikiluaq. The population of the ecoregion is approximately 500.",49
MACKENZIE DELTA,"This ecoregion is composed of the southern two-thirds of the distinctive Mackenzie River delta. The ecoregion is marked by very cold winters and cool summers. The mean annual temperature is approximately -9.5°C. The mean summer temperature is 8.5°C and the mean winter temperature is -26.5°C. Mean annual precipitation ranges from 200 mm to less than 275 mm. The ecoregion is classified as having a high subarctic ecoclimate. The predominant vegetation consists of open, very stunted stands of black spruce and tamarack with secondary quantities of white spruce, and a ground cover of dwarf birch, willow, ericaceous shrubs, cottongrass, lichen, and moss. Poorly drained sites usually support tussocks of sedge, cottongrass, and sphagnum moss. Low shrub tundra, usually dwarf birch and willow, is also common. The delta is a complex area of peat-covered deltas and fluvial marine deposits. The present delta is remarkable for its multitude of lakes and channels. Wetlands extend over 50% of the ecoregion, and are characteristically polygonal peat plateau bogs with ribbed fens. Regosolic Static and Gleysolic Static Cryosols with Organic Cryosols developed on level fluvioglacial, organic, and marine deposits are the dominant soils. Extensive discontinuous permafrost with low to medium ice content is prevalent throughout the ecoregion, and is characterized by sparse ice wedges. Characteristic wildlife includes muskrat, beaver, mink, and waterfowl. Land uses are limited to trapping, hunting, recreation, and tourism. Major communities include Aklavik and Inuvik. The population of the ecoregion is approximately 4000.",50
